Gender,Age,Occupation,subsample_fraction,RMSE
False,True,False,0.2,0.8083484747391486
True,True,True,0.2,0.7538812015090558
False,False,True,0.2,0.7614129329463577
False,False,False,0.2,0.9662698526126304
True,False,False,0.2,0.8726820409029696
True,True,False,0.2,0.7933093828949354
True,False,True,0.2,0.7466755966557929
True,False,False,0.2258064516129032,0.8764865119096328
False,False,False,0.2258064516129032,0.9574328717120224
False,True,True,0.2258064516129032,0.7570721750034792
True,True,False,0.2258064516129032,0.7822753460789954
False,False,True,0.2258064516129032,0.7686076517089773
False,True,False,0.2258064516129032,0.8096235728265442
True,False,True,0.2258064516129032,0.7600265715578531
True,True,True,0.2258064516129032,0.7696457623122245
True,False,True,0.2516129032258065,0.7603847140458161
True,True,True,0.2516129032258065,0.7545537858005469
True,True,False,0.2516129032258065,0.7786367863370165
False,True,True,0.2516129032258065,0.758394686047449
False,False,True,0.2516129032258065,0.7591161177191719
True,False,False,0.2516129032258065,0.8727210823621986
False,False,False,0.2516129032258065,0.9467601543654952
False,True,False,0.2516129032258065,0.8083886484372175
True,True,False,0.2774193548387097,0.7676254179754272
True,False,False,0.2774193548387097,0.873750336543342
False,True,True,0.2774193548387097,0.7685381401237977
True,True,True,0.2774193548387097,0.7682269397858473
False,True,False,0.2774193548387097,0.8060725413878852
True,False,True,0.2774193548387097,0.7566427359080755
False,False,False,0.2774193548387097,0.9417352863936348
False,True,True,0.3032258064516129,0.7687532626960234
False,False,True,0.3032258064516129,0.7600542163501846
True,True,True,0.3032258064516129,0.7685184695730498
False,False,False,0.3032258064516129,0.9248054435791432
True,True,False,0.3032258064516129,0.7826690802790731
True,False,False,0.3032258064516129,0.8728877058848628
True,False,True,0.3032258064516129,0.7447977038846251
False,True,False,0.3032258064516129,0.8044732294370486
False,True,False,0.3290322580645161,0.8125012001772024
True,False,True,0.3290322580645161,0.7646152068259829
True,True,False,0.3290322580645161,0.7766906947545756
True,True,True,0.3290322580645161,0.7671572603356033
False,False,True,0.3290322580645161,0.7652588588752448
True,False,False,0.3290322580645161,0.8768743265236117
False,False,False,0.3290322580645161,0.9130996408049612
False,False,True,0.3548387096774194,0.7553833236816044
True,True,True,0.3548387096774194,0.7460607297212755
True,False,False,0.3548387096774194,0.8730036396989684
False,True,True,0.3548387096774194,0.755519457565812
True,False,True,0.3548387096774194,0.7672743606093919
False,True,False,0.3548387096774194,0.8055027606751097
False,False,False,0.3548387096774194,0.9134871106816072
True,True,False,0.3548387096774194,0.7845326479283564
False,True,True,0.3806451612903225,0.7590715387287392
True,True,True,0.3806451612903225,0.7655392497289724
True,True,False,0.3806451612903225,0.7891745936969758
False,False,True,0.3806451612903225,0.7643403606032997
False,True,False,0.3806451612903225,0.8047896962138499
True,False,False,0.3806451612903225,0.8720138896308256
True,False,True,0.3806451612903225,0.7727377338677998
False,False,False,0.3806451612903225,0.9072140002599978
True,True,True,0.4064516129032258,0.7621209338508635
False,False,True,0.4064516129032258,0.7604869649465782
False,True,True,0.4064516129032258,0.7672977497072226
True,False,False,0.4064516129032258,0.8666308827660267
True,True,False,0.4064516129032258,0.7766265161193995
False,True,False,0.4064516129032258,0.802572146823478
True,False,True,0.4064516129032258,0.7509954739313623
False,False,False,0.4064516129032258,0.9043068518076144
False,False,False,0.432258064516129,0.8994016651066795
True,False,False,0.432258064516129,0.8767845659459381
False,False,True,0.432258064516129,0.7686758084148549
True,True,True,0.432258064516129,0.7696250941415312
True,False,True,0.432258064516129,0.7615161922957602
False,True,False,0.432258064516129,0.8057943210649976
False,True,True,0.432258064516129,0.7511465251401878
True,True,False,0.432258064516129,0.7772881917477364
True,False,False,0.4580645161290322,0.8717110316196849
False,False,False,0.4580645161290322,0.890501130058197
True,True,False,0.4580645161290322,0.7960648737863243
False,True,True,0.4580645161290322,0.7570937395170262
True,True,True,0.4580645161290322,0.7544565857272468
False,True,False,0.4580645161290322,0.8048826961773999
True,False,True,0.4580645161290322,0.7628112833723604
False,False,True,0.4580645161290322,0.7458505854968083
True,False,True,0.4838709677419355,0.7659789941523236
True,True,False,0.4838709677419355,0.7753870623463893
False,False,False,0.4838709677419355,0.8915330575099835
False,False,True,0.4838709677419355,0.7736937723557943
False,True,False,0.4838709677419355,0.8058537605751735
False,True,True,0.4838709677419355,0.7573409441667741
True,False,False,0.4838709677419355,0.8723368707007397
True,True,True,0.4838709677419355,0.7582609419729119
True,True,False,0.5096774193548388,0.7777802625624859
